Language,original,english,german,chinesesimp,chinese,russian,czech,polish,hungarian,italian,spanish,french,portuguese,japanese,
"Car_to_Tune","Car to tune","Car to tune","Auto zum Stimmen","汽车调整","汽車調整","Автомобиль настройки","Auto na ladění","Auto do strojenia","Autó hangolása","Auto da sintonizzare","Auto para sintonizar","Voiture à régler","Carro para ajustar","チューニングする車",
"tune","tune","tune","tune","调","調","Тюнинг","Ladit","Tuning","Hangolás","Messa a punto","Sintonización","Réglage","Ajuste","チューニング",
"cars_tuning_option","Cars tuning options","Cars tuning options","Autos Tuning Optionen","汽车调整选项","汽車調整選項","Опции настройки автомобилей","Možnosti ladění aut","Opcje strojenia samochodów","Autó hangolási lehetőségek","Opzioni di messa a punto delle auto","Opciones de sintonización de coches","Options de réglage des voitures","Opções de ajuste de carros","車のチューニングオプション",
"Tuning","Tuning","Tuning","Tuning","调","調","Тюнинг","Ladění","Tuning","Hangolás","Messa a punto","Sintonización","Réglage","Ajuste","チューニング",
"open_tuning_menu","Open Tuning Menu","Open Tuning Menu","Öffnen Sie das Tuning-Menü","打开调整菜单","打開調音菜單","Открыть меню настройки","Otevřít menu ladění","Otwórz menu strojenia","Nyissa meg a hangolási menüt","Apri il menu di messa a punto","Abrir menú de sintonización","Ouvrir le menu de réglage","Abrir menu de ajuste","チューニングメニューを開く",
"no_target_type_selected","No tuning package selected","No tuning package selected","Kein Tuning Paket ausgewählt","没有选择调整包","沒有選擇調整包","Не выбран пакет настройки","Není vybrán balíček ladění","Nie wybrano pakietu strojenia","Nincs kiválasztott hangolási csomag","Nessun pacchetto di messa a punto selezionato","Ningún paquete de sintonización seleccionado","Aucun package de réglage sélectionné","Nenhum pacote de ajuste selecionado","選択されたチューニングパッケージはありません",
"car_can_not_tuned_is_ruined","Car can not tuned, is ruined.","Car can not tuned, is ruined.","Auto kann nicht getunt werden, ist kaputt.","汽车不能调整，已损坏。","汽車不能調整，已損壞。","Автомобиль не может быть настроен, он разрушен.","Auto nemůže být naladěno, je zničeno.","Auto nie może być dostrojone, jest zniszczone.","Az autó nem hangolható, tönkrement.","L'auto non può essere sintonizzata, è rovinata.","El auto no se puede sintonizar, está arruinado.","La voiture ne peut pas être réglée, elle est ruinée.","O carro não pode ser ajustado, está arruinado.","車は調整できません、壊れています。",
"car_was_tuned_some_items_can_not_placed_in_car","Car has tuned, not all items can repack in trunk. They are placed on ground.","Car has tuned, not all items can repack in trunk. They are placed on ground.","Auto wurde getuned, nicht alle Gegenstände können im Kofferraum verstaut werden. Sie werden auf den Boden gelegt.","汽车已调好，不能将所有物品重新装入后备箱。它们被放在地上。","汽車已調好，不能將所有物品重新裝入行李箱。它們被放在地上。","Автомобиль настроен, не все предметы можно упаковать в багажник. Они размещены на земле.","Auto bylo naladěno, ne všechny položky lze zabalit do kufru. Jsou umístěny na zemi.","Auto zostało dostrojone, nie wszystkie przedmioty można spakować do bagażnika. Zostają umieszczone na ziemi.","Az autó be lett állítva, nem minden elemet lehet visszacsomagolni a csomagtartóba. A földre kerülnek.","L'auto è stata messa a punto, non tutti gli oggetti possono essere riposti nel bagagliaio. Sono posizionati a terra.","El auto se ha sintonizado, no todos los elementos se pueden volver a empacar en el maletero. Se colocan en el suelo.","La voiture est réglée, tous les éléments ne peuvent pas être reconditionnés dans le coffre. Ils sont placés sur le sol.","O carro foi sintonizado, nem todos os itens podem ser reembalados no porta-malas. Eles são colocados no chão.","車はチューニングされましたが、すべてのアイテムをトランクに詰め直すことはできません。地面に置かれます。",
"car_was_tuned","Car was tuned","Car was tuned","Auto wurde getuned","汽车已调好","汽車已調好","Автомобиль тюнингован","Auto je vyladěné","Auto po tuningu","Az autó tuningolt","L'auto è stata messa a punto","El auto se ha sintonizado","La voiture est réglée","O carro foi sintonizado","車はチューニングされました",
"pls_restart_your_dayz","Please restart your DayZ","Please restart your DayZ","Bitte starten Sie Ihr DayZ neu","请重新启动您的DayZ","請重新啟動您的DayZ","Пожалуйста, перезапустите ваш DayZ","Restartujte svůj DayZ","Uruchom ponownie DayZ","Kérjük, indítsa újra a DayZ-t","Si prega di riavviare il tuo DayZ","Por favor, reinicie su DayZ","Veuillez redémarrer votre DayZ","Por favor, reinicie o seu DayZ","DayZを再起動してください",
"missing_tool_quantity","Missing tool quantity","Missing tool quantity","Fehlende Werkzeug Menge","缺少工具数量","缺少工具数量","Отсутствует количество инструмента","Chybějící množství nástroje","Brakująca ilość narzędzia","Hiányzó eszköz mennyiség","Quantità di strumento mancante","Cantidad de herramienta faltante","Quantité d'outil manquante","Quantidade de ferramenta em falta","工具数量不足",
"needed","Needed","Needed","Benötigt","所需","所需","Требуется","Potřebné","Potrzebne","Szükséges","Necessario","Necesario","Nécessaire","Necessário","必要",
"found","Found","Found","Gefunden","找到","找到","Найдено","Nalezeno","Znaleziono","Talált","Trovato","Encontrado","Trouvé","Encontrado","見つかりました",
"missing_tool","Missing tool","Missing tool","Fehlendes Werkzeug","缺少工具","缺少工具","Отсутствующий инструмент","Chybějící nástroj","Brakujący narzędzie","Hiányzó eszköz","Strumento mancante","Herramienta faltante","Outil manquant","Ferramenta em falta","工具缺失",
"missing_craft_item_quantity","Missing craft item quantity","Missing craft item quantity","Fehlende Handwerksgegenstand Menge","缺少手工艺品数量","缺少手工艺品数量","Отсутствует количество предмета ремесла","Chybějící množství výrobní položky","Brakująca ilość przedmiotu rzemiosła","Hiányzó kézműves tárgy mennyiség","Quantità di oggetti artigianali mancante","Cantidad de elementos de artesanía faltante","Quantité d'élément d'artisanat manquante","Quantidade de item de artesanato em falta","手工艺品数量不足",
"missing_craft_item","Missing craft item","Missing craft item","Fehlendes Handwerksgegenstand","缺少手工艺品","缺少手工艺品","Отсутствующий предмет ремесла","Chybějící výrobní položka","Brakujący przedmiot rzemiosła","Hiányzó kézműves tárgy","Oggetto artigianale mancante","Elemento de artesanía faltante","Objet d'artisanat manquant","Item de artesanato em falta","手工艺品缺失",
"neededQuantity","Needed quantity","Needed quantity","Benötigte Menge","所需数量","所需數量","Требуемое количество","Potřebné množství","Potrzebna ilość","Szükséges mennyiség","Quantità necessaria","Cantidad necesaria","Quantité nécessaire","Quantidade necessária","必要な数量",
"neededHealth","Needed health","Needed health","Benötigte Gesundheit","所需健康","所需健康","Требуемое здоровье","Potřebné zdraví","Potrzebne zdrowie","Szükséges egészség","Salute necessaria","Salud necesaria","Santé nécessaire","Saúde necessária","必要な健康",
"wrong_job","Wrong job","Wrong job","Falscher Job","错误的工作","錯誤的工作","Неправильная работа","Špatná práce","Zła praca","Rossz munka","Lavoro sbagliato","Trabajo equivocado","Mauvais travail","Trabalho errado","間違った仕事",
"update_successful","Update successful","Update successful","Aktualisierung erfolgreich","更新成功","更新成功","Обновление прошло успешно","Aktualizace byla úspěšná","Aktualizacja powiodła się","Frissítés sikeres","Aggiornamento riuscito","Actualización exitosa","Mise à jour réussie","Atualização bem-sucedida","更新に成功しました",
"manage","Manage","Manage","Verwalten","管理","管理","Управлять","Spravovat","Zarządzaj","Kezel","Gestisci","Administrar","Gérer","Gerenciar","管理",
"JobName_Rank","Rank","Rank","Rang","排名","排名","Ранг","Hodnost","Ranga","Rang","Grado","Rango","Rang","Classificação","ランク",
"JobName_list","Player list","Player list","Spielerliste","玩家列表","玩家列表","Список игроков","Seznam hráčů","Lista graczy","Játékos lista","Elenco giocatori","Lista de jugadores","Liste des joueurs","Lista de jogadores","プレイヤーリスト",
"config_was_reloaded","Config was reloaded","Config was reloaded","Config wurde neu geladen","配置文件已重新加载","配置文件已重新加載","Конфигурация была перезагружена","Konfigurace byla znovu načtena","Konfiguracja została ponownie załadowana","A konfiguráció újra lett töltve","La configurazione è stata ricaricata","La configuración fue recargada","La configuration a été rechargée","A configuração foi recarregada","設定が再読み込みされました",
"Barrel_Crude_Oil","Barrel Crude Oil","Barrel Crude Oil","Fass mit Rohöl","原油桶","原油桶","Бочка с сырой нефтью","Sud s surovou ropou","Beczka surowej ropy","Hordó nyersolajjal","Tonno di petrolio greggio","Barril de petróleo crudo","Tonneau de pétrole brut","Barril de petróleo bruto","原油樽",
"Barrel_Crude_Oil_Desc","Barrel with crude oil","Barrel with crude oil","Fass mit Rohöl","原油桶","原油桶","Бочка с сырой нефтью","Sud s surovou ropou","Beczka surowej ropy","Hordó nyersolajjal","Tonno di petrolio greggio","Barril de petróleo crudo","Tonneau de pétrole brut","Barril de petróleo bruto","原油樽",
"10L_Canister_Oil","10L Canister Oil","10L Canister Oil","10L Kanister Öl","10升油桶","10升油桶","10-литровый канистра масла","10L Kanistr oleje","10L Kanister oleju","10L Kannás olaj","10L Lattina di olio","10L Lata de aceite","10L Bidon d'huile","10L Lata de óleo","10L缶オイル",
"Sandpaper", "Sandpaper", "Sandpaper", "Schleifpapier", "砂纸", "砂紙", "шлифовальная бумага", "Brusný papír", "Papier ścierny", "Csiszolópapír", "Carta vetrata", "Papel de lija", "Papier de verre", "Papel de lixa", "サンドペーパー",
"Counterfeit_money", "Counterfeit money", "Counterfeit money", "Falschgeld", "假钱", "假錢", "поддельные деньги", "Padělané peníze", "Fałszywe pieniądze", "Hamis pénz", "Soldi falsi", "Dinero falso", "Argent contrefait", "Dinheiro falso", "偽造紙幣",
"Jewelry", "Jewelry", "Jewelry", "Schmuck", "珠宝", "珠寶", "ювелирные изделия", "Šperky", "Biżuteria", "Ékszer", "Gioielli", "Joyería", "Bijoux", "Jóias", "ジュエリー",
"Jewelry_desc","Jewelry","Jewelry","Schmuck","珠宝","珠寶","ювелирные изделия","Šperky","Biżuteria","Ékszer","Gioielli","Joyería","Bijoux","Jóias","ジュエリー",
"Coal","Coal","Coal","Kohle","煤炭","煤炭","Уголь","Uhlí","Węgiel","Szén","Carbone","Carbón","Charbon","Carvão","石炭",
"Coal_desc","Coal","Coal","Kohle","煤炭","煤炭","Уголь","Uhlí","Węgiel","Szén","Carbone","Carbón","Charbon","Carvão","石炭",
"Copper","Copper","Copper","Kupfer","铜","銅","Медь","Měď","Miedź","Réz","Rame","Cobre","Cuivre","Cobre","銅",
"Copper_desc","Copper","Copper","Kupfer","铜","銅","Медь","Měď","Miedź","Réz","Rame","Cobre","Cuivre","Cobre","銅",
"Copper_ore","Copper ore","Copper ore","Kupfererz","铜矿石","銅礦石","Медная руда","Měděná ruda","Ruda miedzi","Rézérc","Minerale di rame","Mineral de cobre","Minerai de cuivre","Minério de cobre","銅鉱石",
"Copper_ore_desc","Copper ore","Copper ore","Kupfererz","铜矿石","銅礦石","Медная руда","Měděná ruda","Ruda miedzi","Rézérc","Minerale di rame","Mineral de cobre","Minerai de cuivre","Minério de cobre","銅鉱石",
"Iron_ore","Iron ore","Iron ore","Eisenerz","铁矿石","鐵礦石","Железная руда","Železná ruda","Ruda żelaza","Vasérc","Minerale di ferro","Mineral de hierro","Minerai de fer","Minério de ferro","鉄鉱石",
"Iron_ore_desc","Iron ore","Iron ore","Eisenerz","铁矿石","鐵礦石","Железная руда","Železná ruda","Ruda żelaza","Vasérc","Minerale di ferro","Mineral de hierro","Minerai de fer","Minério de ferro","鉄鉱石",
"Iron","Iron","Iron","Eisen","铁","鐵","Железо","Železo","Żelazo","Vas","Ferro","Hierro","Fer","Ferro","鉄",
"Iron_desc","Iron","Iron","Eisen","铁","鐵","Железо","Železo","Żelazo","Vas","Ferro","Hierro","Fer","Ferro","鉄",
"Gold","Gold","Gold","Gold","黄金","黃金","Золото","Zlato","Złoto","Arany","Oro","Oro","Or","Ouro","金",
"Gold_ore","Gold ore","Gold ore","Gold Erz","金矿石","金礦石","Золотая руда","Zlatá ruda","Ruda złota","Aranyérc","Minerale d'oro","Mineral de oro","Minerai d'or","Minério de ouro","金鉱石",
"Gold_ore_desc","Gold ore","Gold ore","Gold Erz","金矿石","金礦石","Золотая руда","Zlatá ruda","Ruda złota","Aranyérc","Minerale d'oro","Mineral de oro","Minerai d'or","Minério de ouro","金鉱石",
"Gold_desc","Gold","Gold","Gold","黄金","黃金","Золото","Zlato","Złoto","Arany","Oro","Oro","Or","Ouro","金",
"Diamond_cut","Diamond cut","Diamond cut","Diamantenschliff","钻石切割","鑽石切割","Алмазная резка","Diamantový řez","Diamentowy cięcie","Gyémánt csiszolás","Taglio di diamante","Corte de diamante","Diamant taillé","Diamante cortado","ダイヤモンドカット",
"Diamond_cut_desc","Diamond cut","Diamond cut","Diamantenschliff","钻石切割","鑽石切割","Алмазная резка","Diamantový řez","Diamentowy cięcie","Gyémánt csiszolás","Taglio di diamante","Corte de diamante","Diamant taillé","Diamante cortado","ダイヤモンドカット",
"raw_Diamond","raw Diamond","raw Diamond","roher Diamant","原钻石","原鑽石","сырой алмаз","hrubý diamant","surowy diament","nyers gyémánt","diamante grezzo","diamante crudo","diamant brut","diamante bruto","原ダイヤモンド",
"raw_Diamond_desc","raw Diamond","raw Diamond","roher Diamant","原钻石","原鑽石","сырой алмаз","hrubý diamant","surowy diament","nyers gyémánt","diamante grezzo","diamante crudo","diamant brut","diamante bruto","原ダイヤモンド",
"Color","Color","Color","Farbe","颜色","顏色","Цвет","Barva","Kolor","Szín","Colore","Color","Couleur","Cor","色",
"Bucket","Bucket","Bucket","Eimer","桶","桶","Ведро","Kbelík","Wiadro","Vödör","Secchio","Cubo","Seau","Balde","バケツ",
"Cement","Cement","Cement","Zement","水泥","水泥","Цемент","Cement","Cement","Cement","Cemento","Cemento","Ciment","Cimento","セメント",
"CannabisPlant","CannabisPlant","CannabisPlant","Cannabis Pflanze","大麻植物","大麻植物","Конопляное растение","Konopná rostlina","Roślina konopi","Kender növény","Pianta di cannabis","Planta de cannabis","Plante de cannabis","Planta de cannabis","カンナビスプラント",
"Cannabis","Cannabis","Cannabis","Cannabis","大麻","大麻","Конопля","Konopí","Konopie","Kender","Cannabis","Cannabis","Cannabis","Cannabis","カンナビス",
"Cannabis_Brick","Cannabis Brick","Cannabis Brick","Cannabis Ziegel","大麻砖","大麻磚","Конопляный кирпич","Konopný cihla","Cegła konopi","Kender tégla","Mattone di cannabis","Ladrillo de cannabis","Brique de cannabis","Tijolo de cannabis","カンナビスブリック",
"canabis_desc","Cannabis","Cannabis","Cannabis","大麻","大麻","Конопля","Konopie","Konopie","Kender","Cannabis","Cannabis","Cannabis","Cannabis","カンナビス",
"Cannabis_Brick_desc","Cannabis Brick","Cannabis Brick","Cannabis Ziegel","大麻砖","大麻磚","Конопляный кирпич","Konopný cihla","Cegła konopi","Kender tégla","Mattone di cannabis","Ladrillo de cannabis","Brique de cannabis","Tijolo de cannabis","カンナビスブリック",
"Cocaine_plant","Cocaine plant","Cocaine plant","Kokain Pflanze","可卡因植物","可卡因植物","Кокаиновое растение","Kokainová rostlina","Roślina kokainy","Kokain növény","Pianta di cocaina","Planta de cocaína","Plante de cocaïne","Planta de cocaína","コカイン植物",
"Cocain_Brick","Cocain Brick","Cocain Brick","Kokain Ziegel","可卡因砖","可卡因磚","Кокаиновый кирпич","Kokainový cihla","Cegła kokainy","Kokain tégla","Mattone di cocaina","Ladrillo de cocaína","Brique de cocaïne","Tijolo de cocaína","コカインブリック",
"Cocain_Brick_desc","Cocain Brick","Cocain Brick","Kokain Ziegel","可卡因砖","可卡因磚","Кокаиновый кирпич","Kokainový cihla","Cegła kokainy","Kokain tégla","Mattone di cocaina","Ladrillo de cocaína","Brique de cocaïne","Tijolo de cocaína","コカインブリック",
"raw_Cocaine_desc","raw Cocaine","raw Cocaine","rohes Kokain","原可卡因","原可卡因","сырая кокаин","hrubý kokain","surowy kokaina","nyers kokain","cocaina grezza","cocaína cruda","cocaïne brute","cocaína bruta","原コカイン",
"Cocain_Brick","Cocain Brick","Cocain Brick","Kokain Ziegel","可卡因砖","可卡因磚","Кокаиновый кирпич","Kokainový cihla","Cegła kokainy","Kokain tégla","Mattone di cocaina","Ladrillo de cocaína","Brique de cocaïne","Tijolo de cocaína","コカインブリック",
"Cocaine_plunder","Cocaine plunder","Cocaine plunder","Kokain Beute","可卡因掠夺","可卡因掠奪","Кокаин добыча","Kokain kořist","Kokaina plądrować","Kokain fosztogatás","Cocaina saccheggiare","Cocaína saquear","Cocaïne piller","Cocaína saquear","コカイン略奪",
"raid_can_not_start_to_less_players","Raid can not start, to less players","Raid can not start, to less players","Raid kann nicht starten, zu wenige Spieler","突袭无法开始，玩家太少","突襲無法開始，玩家太少","Рейд не может начаться, игроков слишком мало","Raid nemůže začít, příliš málo hráčů","Raid nie może się rozpocząć, za mało graczy","A rajt nem indulhat el, túl kevés játékos","Il raid non può iniziare, troppi pochi giocatori","El asalto no puede comenzar, hay pocos jugadores","Le raid ne peut pas commencer, trop peu de joueurs","O ataque não pode começar, há poucos jogadores","プレイヤーが少なすぎてレイドを開始できません",
"error_not_enough_money","Error not enough money","Error not enough money","Fehler nicht genug Geld","错误，钱不够","錯誤，錢不夠","Ошибка недостаточно денег","Chyba ne dost peněz","Błąd nie wystarczająco pieniędzy","Hiba nincs elég pénz","Errore non abbastanza soldi","Error no hay suficiente dinero","Erreur pas assez d'argent","Erro dinheiro insuficiente","エラー、お金が足りません",
"break_door","Break door","Break door","Tür aufbrechen","打破门","打破門","Взломать дверь","Zničit dveře","Zniszcz drzwi","Ajtót törni","Rompi la porta","Romper la puerta","Casser la porte","Quebrar a porta","ドアを壊す",
"cop_message_job_house_alarm","Alarm, a job building will raided.","Alarm, a job building will raided.","Alarm, ein Jobgebäude wird überfallen.","警报，一个工作建筑将被抢劫。","警報，一個工作建築將被搶劫。","Тревога, здание работы будет ограблено.","Poplach, budova práce bude vykradena.","Alarm, budynek pracy zostanie obrabowany.","Riasztás, egy munkahelyi épületet kirabolnak.","Allarme, un edificio di lavoro verrà derubato.","Alarma, un edificio de trabajo será saqueado.","Alarme, un bâtiment de travail sera cambriolé.","Alarme, um prédio de trabalho será saqueado.","警報、ジョブビルが襲われます。",
